video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
7yTWI873yfg,17.14.11,Review On Bigg Boss 11: OMG! Hina Khan Vs Salman Khan part 2,Saas Bahu Aur Betiyaan,24,2017-11-11T10:33:38.000Z,334780,1307,230,744,FALSE,FALSE,FALSE
q0-SCcsuSSs,17.14.11,Akkineni Nagarjuna Response On Annapurna Studios Fire Mishap |Manam Movie House Setting Fired| iNews,I News,25,2017-11-13T15:30:47.000Z,23932,0,0,7,FALSE,TRUE,FALSE
l3fRny54z4U,17.14.11,സൗബിനെ വെറും  30 സെക്കൻഡ് സമയം കൊണ്ട് വളച്ചെടുത്ത പേർളി !!,Asianet,24,2017-11-13T11:45:39.000Z,54861,247,20,10,FALSE,FALSE,FALSE
WXN8BzAsi3A,17.14.11,TVF Inmates | E05 - Smells Like Nostalgia,TheViralFeverVideos,24,2017-11-10T09:59:20.000Z,1174353,20095,2517,2250,FALSE,FALSE,FALSE
E_e3nSdBiqE,17.14.11,Does GOD EXIST OR NOT? PART 2 | Unknown Facts About GOD Revealed in Telugu | Vikram Aditya | EP#92,Vikram Aditya,24,2017-11-13T03:04:30.000Z,127517,3676,381,2169,FALSE,FALSE,FALSE
yPOnlqGGGGU,17.14.11,"Genes Promo | 18th November 2017 | Indraneel, Meghana | Genes Latest Promo",mallemalatv,24,2017-11-13T09:55:26.000Z,255707,2267,121,338,FALSE,FALSE,FALSE
MXH7yFFl3fE,17.14.11,"8 राशियों की लगेंगी लॉटरी,16 नवम्बर के बाद खुब बरसेगा पैसा व प्यार,सूर्य राशि महापरिवर्तन",AstroMitram,22,2017-11-12T10:46:55.000Z,97522,838,189,49,FALSE,FALSE,FALSE
UTVFNrRwL1o,17.14.11,"Indian Cricketers With HOT Girlfriends & Wives - Virat Anushka,Dhoni Sakshi,Zaheer Sagarika",BiscootTV,24,2017-11-11T19:12:51.000Z,692359,2523,618,194,FALSE,FALSE,FALSE
hDUel4MX-Fw,17.14.11,13 November 2017-The Hindu Editorial News Paper Analysis- [UPSC/SSC/IBPS] Current affairs,Study IQ education,27,2017-11-13T03:12:33.000Z,47352,2240,31,543,FALSE,FALSE,FALSE
K6JyjjNnTlg,17.14.11,இவ்வளவு சொத்து எப்படி வந்துச்சு ? NAKKHEERAN GOPAL Exclusive Interview about Sasikala & Family,NewsGlitz - Next Generation Tamil News Channel,25,2017-11-13T13:01:24.000Z,114466,1580,163,255,FALSE,FALSE,FALSE
TuOBfQRXwhQ,17.14.11,"13 नवम्बर से इन 9 राशि वालों का खुलेगा किस्मत का ताला, कहीं आप की राशि तो नहीं इन में से एक जानिए",Brijnaari Sumi,22,2017-11-12T09:36:50.000Z,109594,790,189,145,FALSE,FALSE,FALSE
y6YY8-k9Cwg,17.14.11,7 DAILY HABITS OF SELF MADE MILLIONAIRES (HINDI),SeeKen,27,2017-11-12T06:46:34.000Z,103239,7191,91,746,FALSE,FALSE,FALSE
1WTtrHW7uw8,17.14.11,"Bigg Boss 11 | Eviction Interview | ANGRY Mehjabi calls Hina, Priyank FAKE",BookMyTV,24,2017-11-12T18:00:01.000Z,150806,1311,508,740,FALSE,FALSE,FALSE
w5qMOyPuUqU,17.14.11,வாணி ராணி - VAANI RANI -  Episode 1416 - 13/11/2017,RadaanMedia,24,2017-11-13T16:30:01.000Z,170707,1152,178,166,FALSE,FALSE,FALSE
4tEqzEo5uKY,17.14.11,ఈ రోజు కార్తీకమాస చివరి సోమవారం ఇది వింటే 1000 సార్లు కాశీ వెళ్లినంత పుణ్యం దక్కుతుంది.! Lord Shiva,SumanTV,26,2017-11-13T03:30:01.000Z,77888,889,75,44,FALSE,FALSE,FALSE
3d7NjfTziNM,17.14.11,Son Of Abish feat. Vir Das & Irrfan Khan,Abish Mathew,23,2017-11-10T14:11:33.000Z,779856,14281,490,1021,FALSE,FALSE,FALSE
8vBjlhp73hU,17.14.11,భార్య తో వెంకటేష్ ...Venkatesh Wife Neeraja At Samantha Naga Chaitanya Wedding Reception..Allu Arjun,Around Telugu,24,2017-11-13T05:00:32.000Z,154502,543,15,15,FALSE,FALSE,FALSE
WPuhu6dYyQY,17.14.11,"Baal Veer - बाल वीर - Episode 777 (Part 1) - 11th November, 2017",Sony PAL,43,2017-11-11T16:55:38.000Z,433053,938,298,119,FALSE,FALSE,FALSE
XjF2n3NaoSk,17.14.11,Konchem Touch Lo Unte Chepta Season 3 - Rajasekhar and his Family Promo - Pradeep Machiraju,Pradeep Machiraju,22,2017-11-10T05:04:00.000Z,1025941,6019,234,280,FALSE,FALSE,FALSE
ozZ8HpIBsGw,17.14.11,Mersal - A minute of Aalaporaan Thamizhan | Vijay | A R Rahman | Atlee,Sony Music India,10,2017-11-10T11:30:01.000Z,1449239,120289,3108,3296,FALSE,FALSE,FALSE
RWTutjJA1I4,17.14.11,Elephant hit man in Facebook live,Manorama News,25,2017-11-13T04:45:05.000Z,93662,33,5,10,FALSE,FALSE,FALSE
xjFKfAudCOo,17.14.11,"Aruvi - Official Teaser | Arun Prabu | Bindhu Malini, Vedanth | Dream Warrior Pictures",Dream Warrior Pictures,1,2017-11-09T11:31:14.000Z,696515,12397,449,385,FALSE,FALSE,FALSE
Mwn4zdD51Kc,17.14.11,18 नवम्बर शनि अमावस्या ज़रा सा सरसों का तेल चमका देगा किस्मत इतना आयेगा पैसा की संभाल नही पाओगे उपाय,Magical Nuskhe,26,2017-11-13T05:23:30.000Z,74888,663,71,14,FALSE,FALSE,FALSE
